"proposed_use","existing_construction_type","status_date","proposed_units","proposed_construction_type","permit_number","proposed_occupancy","data_loaded_at","description","primary_address_flag","revised_cost","street_name","supervisor_district","street_suffix","completed_date","lot","unit_suffix","filed_date","fire_only_permit","issued_date","plansets","structural_notification","block","application_submission_method","point_source","site_permit","number_of_existing_stories","number_of_proposed_stories","data_as_of","neighborhoods_analysis_boundaries","existing_occupancy","permit_type_definition","last_permit_activity_date","permit_type","permit_creation_date","zipcode","record_id","proposed_construction_type_description","unit","adu","estimated_cost","street_number","existing_use","existing_units","location","street_number_suffix","status","existing_construction_type_description"
"apartments","5","2023-09-06T15:32:00.000","4","5","202309066005","R-2","2023-09-08T04:14:49.000","re-roofing.","","47750","Grant","3","Av","","104","","2023-09-06T13:20:29.000","","2023-09-06T15:32:00.000","0","","0039","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","North Beach","R-2","otc alterations permit","2023-09-06T15:18:27.000","8","2023-09-06T00:00:00.000","94133","1677656253922","wood frame (5)","4","N","47750","2017","apartments","4","{""coordinates"":[-122.40881311,37.805580722],""type"":""Point""}","","issued","wood frame (5)"
"2 family dwelling","","2023-09-06T10:55:51.000","2","5","202309065979","R-3","2023-09-08T04:14:49.000","new 13-d combo fire sprinkler system. ref ti 202101192885. no under ground work. (ug under sep permit)","Y","0","Head","11","St","","048","","2023-09-06T10:55:51.000","Y","","2","","7116","in-house","parcel_centroid","","","3","2023-09-07T23:55:00.000","Oceanview/Merced/Ingleside","","otc alterations permit","2023-09-07T11:20:34.000","8","2023-09-06T00:00:00.000","94132","1677624517986","wood frame (5)","","N","5000","352","","","{""coordinates"":[-122.464115134,37.713454263],""type"":""Point""}","","filed",""
"apartments","5","2023-09-06T15:26:34.000","9","5","202309065993","R-2","2023-09-08T04:14:49.000","like for like system replacement w/upgrade to comply w/sec 1103.7.6.1 2022 code requirements. replace (e) panel smokes & pull w/new @ same location. replace (e) bell w/new horn-strobes, install new pull & horn/strobe in the basement & rd fl. install new raido communicator","Y","41097","Pine","5","St","","017","","2023-09-06T12:19:08.000","Y","2023-09-06T15:26:34.000","2","","0661","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Pacific Heights","R-2","otc alterations permit","2023-09-06T15:22:55.000","8","2023-09-06T00:00:00.000","94115","1677640413979","wood frame (5)","0","N","15000","2191","apartments","9","{""coordinates"":[-122.431799846,37.787986928],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-09-06T12:07:24.000","1","5","202309065967","R-3","2023-09-08T04:14:49.000","reroofing","Y","15800","Greenwich","2","St","","026","","2023-09-06T10:14:11.000","","2023-09-06T12:07:24.000","0","","0514","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Marina","R-3","otc alterations permit","2023-09-06T12:02:57.000","8","2023-09-06T00:00:00.000","94123","1677611234783","wood frame (5)","","N","15850","2355","1 family dwelling","1","{""coordinates"":[-122.43838701,37.798351654],""type"":""Point""}","","issued","wood frame (5)"
"2 family dwelling","5","2023-09-06T12:35:29.000","2","5","202309065997","R-3","2023-09-08T04:14:49.000","response/to comply with nov #202306658. to memorialize a water heater and a furnace/wall heater installed without the benefit of a permit.","","","Alvarado","9","St","","022","","2023-09-06T12:35:29.000","","","2","","3634","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Mission","R-3","additions alterations or repairs","2023-09-06T12:57:30.000","3","2023-09-06T00:00:00.000","94110","1677644378106","wood frame (5)","","N","5000","43","2 family dwelling","2","{""coordinates"":[-122.422206583,37.7541786],""type"":""Point""}","","filed","wood frame (5)"
"apartments","5","2023-09-06T15:32:00.000","4","5","202309066005","R-2","2023-09-08T04:14:49.000","re-roofing.","","47750","Grant","3","Av","","102","","2023-09-06T13:20:29.000","","2023-09-06T15:32:00.000","0","","0039","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","North Beach","R-2","otc alterations permit","2023-09-06T15:18:27.000","8","2023-09-06T00:00:00.000","94133","1677654253918","wood frame (5)","2","N","47750","2017","apartments","4","{""coordinates"":[-122.40881311,37.805580722],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-09-06T12:02:48.000","1","5","202309065992","R-3","2023-09-08T04:14:49.000","install a roof hatch & access from the sunroom on the 3rd fl for solar panel maintenance","Y","3000","28th","1","Av","","018B","","2023-09-06T12:02:48.000","","","2","","1570","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Outer Richmond","R-3","otc alterations permit","2023-09-06T14:31:26.000","8","2023-09-06T00:00:00.000","94121","1677638104960","wood frame (5)","","N","3000","614","1 family dwelling","1","{""coordinates"":[-122.487529713,37.777679533],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-09-06T11:11:32.000","1","5","202309065983","R-3","2023-09-08T04:14:49.000","to comply w/ nov# 202312517, replace (e) window w/ new sliding door at rear of house at 2nd flr, construct new deck w/ staircase at rear of house (approx 11'x7.3')","Y","0","Head","11","St","","017","","2023-09-06T11:11:32.000","","","2","Y","7072","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Oceanview/Merced/Ingleside","R-3","otc alterations permit","2023-09-06T12:47:24.000","8","2023-09-06T00:00:00.000","94132","1677628220345","wood frame (5)","","N","12000","519","1 family dwelling","1","{""coordinates"":[-122.464702342,37.716516958],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-09-06T10:01:36.000","1","5","202309065954","R-3","2023-09-08T04:14:49.000","reroofing","Y","19300","Delano","11","Av","","003","","2023-09-06T09:16:49.000","","2023-09-06T10:01:36.000","0","","3212","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Outer Mission","R-3","otc alterations permit","2023-09-06T10:00:11.000","8","2023-09-06T00:00:00.000","94112","1677594155097","wood frame (5)","","N","19300","234","1 family dwelling","1","{""coordinates"":[-122.442304303,37.725046711],""type"":""Point""}","","issued","wood frame (5)"
"food/beverage hndlng","5","2023-09-06T10:52:54.000","0","5","202309065978","A-2","2023-09-08T04:14:49.000","to comply with abe ord 51-16 program. abe #202206171505. remove & replace accessible parking space & aisle per code; remove & replace sidewalk (on property only) from mission st sidewalk to front entrance per code","Y","60000","Mission","11","St","","037","","2023-09-06T10:52:54.000","","","2","","5893","in-house","parcel_centroid","","1","1","2023-09-07T23:55:00.000","Excelsior","A-2","otc alterations permit","2023-09-07T12:04:11.000","8","2023-09-06T00:00:00.000","94112","1677623395857","wood frame (5)","0","N","60000","4285","food/beverage hndlng","0","{""coordinates"":[-122.430627225,37.728820171],""type"":""Point""}","","filed","wood frame (5)"
"apartments","5","2023-09-06T15:32:00.000","4","5","202309066005","R-2","2023-09-08T04:14:49.000","re-roofing.","","47750","Grant","3","Av","","103","","2023-09-06T13:20:29.000","","2023-09-06T15:32:00.000","0","","0039","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","North Beach","R-2","otc alterations permit","2023-09-06T15:18:27.000","8","2023-09-06T00:00:00.000","94133","1677655253920","wood frame (5)","3","N","47750","2017","apartments","4","{""coordinates"":[-122.40881311,37.805580722],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-09-07T10:53:08.000","1","5","202309066029","R-3","2023-09-08T04:14:49.000","re-roofing.","Y","10000","41st","4","Av","","041","","2023-09-06T15:48:20.000","","2023-09-07T10:53:08.000","0","","1813","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-07T10:45:15.000","8","2023-09-06T00:00:00.000","94122","1677679115446","wood frame (5)","","N","3000","1422","1 family dwelling","1","{""coordinates"":[-122.500205059,37.760190213],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-09-06T09:53:34.000","6","5","202309065962","R-2","2023-09-08T04:14:49.000","mandatory fire system replacement & mandatory lf horns installation upgrade to meet sffc 2022 sec 1103.7.6.1 fire alarm only","Y","0","Diamond","8","St","","027","","2023-09-06T09:53:34.000","Y","","2","","2648","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Castro/Upper Market","R-2","otc alterations permit","2023-09-06T11:17:30.000","8","2023-09-06T00:00:00.000","94114","1677603422485","wood frame (5)","0","N","20800","63","apartments","6","{""coordinates"":[-122.436922066,37.761373703],""type"":""Point""}","","filed","wood frame (5)"
"apartments","5","2023-09-07T10:59:02.000","6","5","202309065966","R-2","2023-09-08T04:14:49.000","upgrade (e) fire alarm system to comply with sffc section 1103.7.6.1","Y","32885","Duncan","8","St","","010","","2023-09-06T10:12:00.000","Y","2023-09-07T10:59:02.000","2","","6591","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Noe Valley","R-2","otc alterations permit","2023-09-07T10:56:36.000","8","2023-09-06T00:00:00.000","94131","1677609208388","wood frame (5)","","N","23200","406","apartments","6","{""coordinates"":[-122.429620389,37.746179761],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-09-06T15:52:32.000","1","5","202309066022","R-3","2023-09-08T04:14:49.000","inkind work to repair and replace stucco in the rear house and around the windows.","Y","2000","Lakeshore","4","Dr","","016","","2023-09-06T15:12:10.000","","2023-09-06T15:52:32.000","0","","7272","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-06T15:51:17.000","8","2023-09-06T00:00:00.000","94132","1677672225849","wood frame (5)","","N","2000","451","1 family dwelling","1","{""coordinates"":[-122.494846301,37.733036271],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-09-06T15:08:48.000","16","5","202309066019","R-2","2023-09-08T04:14:49.000","comply w/ nov 202311501: partition wall, bath remodel in kind.","Y","0","Ellis","5","St","","022","","2023-09-06T15:08:48.000","","","0","","0334","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Tenderloin","R-2","otc alterations permit","2023-09-06T15:14:51.000","8","2023-09-06T00:00:00.000","94109","1677669234007","wood frame (5)","","N","1000","565","apartments","16","{""coordinates"":[-122.415672375,37.784282476],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-09-06T10:03:58.000","1","5","202309065965","R-3","2023-09-08T04:14:49.000","replace aluminum lap sideing 7 inch reveal for james hardie lap siding reveal at front","Y","0","Orizaba","11","Av","","009","","2023-09-06T10:03:58.000","","","0","","7091","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Oceanview/Merced/Ingleside","R-3","otc alterations permit","2023-09-06T13:30:15.000","8","2023-09-06T00:00:00.000","94132","1677608221028","wood frame (5)","","N","6900","351","1 family dwelling","1","{""coordinates"":[-122.462888511,37.715273601],""type"":""Point""}","","filed","wood frame (5)"
"office","1","2023-09-06T11:53:56.000","0","1","202309065991","B,S-2,M","2023-09-08T04:14:49.000","13th fl - revision to pa 2021-0604-1685. replace fsd 13-06 and fsd-13-07 wirth fire dampers","","0","Maritime","3","Pz","","021","","2023-09-06T11:53:56.000","","","2","","0204","in-house","parcel_centroid","","25","25","2023-09-07T23:55:00.000","Financial District/South Beach","B,S-2,M","otc alterations permit","2023-09-06T14:28:53.000","8","2023-09-06T00:00:00.000","","1677637289258","constr type 1","","N","1","1","office","0","{""coordinates"":[-122.399226775,37.795606965],""type"":""Point""}","","filed","constr type 1"
"office","1","2023-09-06T09:50:49.000","39","1","202309065959","R-2,B,M,A-3","2023-09-08T04:14:49.000","as-built permit for voluntary fire alarm panel upgrade. functional matrix corrected to match existing sequence. no ref permit app # 202202107697","Y","0","King","6","St","","268","","2023-09-06T09:50:49.000","Y","","2","","8706","in-house","parcel_centroid","","8","8","2023-09-07T23:55:00.000","Mission Bay","R-2,B,M,A-3","otc alterations permit","2023-09-06T10:58:33.000","8","2023-09-06T00:00:00.000","94107","1677599449884","constr type 1","","N","1","207","office","39","{""coordinates"":[-122.391685572,37.777527509],""type"":""Point""}","","filed","constr type 1"
"apartments","5","2023-09-07T10:59:02.000","6","5","202309065966","R-2","2023-09-08T04:14:49.000","upgrade (e) fire alarm system to comply with sffc section 1103.7.6.1","","32885","Duncan","8","St","","010","","2023-09-06T10:12:00.000","Y","2023-09-07T10:59:02.000","2","","6591","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Noe Valley","R-2","otc alterations permit","2023-09-07T10:56:36.000","8","2023-09-06T00:00:00.000","94131","1677610416564","wood frame (5)","0","N","23200","414","apartments","6","{""coordinates"":[-122.429620389,37.746179761],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-09-06T12:07:40.000","1","5","202309065968","R-3","2023-09-08T04:14:49.000","reroofing","Y","24000","El Sereno","7","Ct","","004","","2023-09-06T10:17:39.000","","2023-09-06T12:07:40.000","0","","2968A","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-06T11:59:32.000","8","2023-09-06T00:00:00.000","94127","1677612148321","wood frame (5)","","N","24000","70","1 family dwelling","1","{""coordinates"":[-122.445548587,37.739053548],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-09-06T15:52:42.000","1","5","202309065988","R-3,M","2023-09-08T04:14:49.000","reroofing","Y","6500","California","1","St","","013","","2023-09-06T11:31:19.000","","2023-09-06T15:52:42.000","0","","1365","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Inner Richmond","R-3,M","otc alterations permit","2023-09-06T15:50:51.000","8","2023-09-06T00:00:00.000","94118","1677633375205","wood frame (5)","","N","6500","4310","1 family dwelling","1","{""coordinates"":[-122.463796745,37.78535864],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-09-06T13:58:45.000","1","5","202309065994","R-3","2023-09-08T04:14:49.000","2nd fl hallway bathroom remodel like for like. non-structural. replace shower pan, wet walls, valve, toilet, vanity, vanity light. install vacancy sensor, dedicated gfci & exhaust fan.","Y","26000","Aloha","7","Av","","020","","2023-09-06T12:19:20.000","","2023-09-06T13:58:45.000","0","","1930A","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Inner Sunset","R-3","otc alterations permit","2023-09-06T13:46:17.000","8","2023-09-06T00:00:00.000","94122","1677639120939","wood frame (5)","","N","26000","78","1 family dwelling","1","{""coordinates"":[-122.471157345,37.757989092],""type"":""Point""}","","issued","wood frame (5)"
"food/beverage hndlng","5","2023-09-06T15:01:42.000","2","5","202309066018","B,M,R-3","2023-09-08T04:14:49.000","due to fire damage, replace damaged windows to match (e) on ground floor only. replace fire damaged exterior studs in-kind. ref pa# 202210063882","Y","0","16th","9","St","","051","","2023-09-06T15:01:42.000","","","2","","3965","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Mission","B,M,R-3","otc alterations permit","2023-09-06T15:22:33.000","8","2023-09-06T00:00:00.000","94110","1677668501927","wood frame (5)","","N","18000","2401","food/beverage hndlng","2","{""coordinates"":[-122.410644528,37.765349715],""type"":""Point""}","","filed","wood frame (5)"
"apartments","5","2023-09-07T13:48:19.000","156","5","202309066004","R-2","2023-09-08T04:14:49.000","reroofing","Y","59500","Baker","5","St","","003","","2023-09-06T13:20:02.000","","2023-09-07T13:48:19.000","0","","1206","in-house","parcel_centroid","","6","6","2023-09-07T23:55:00.000","Lone Mountain/USF","R-2","otc alterations permit","2023-09-07T13:44:10.000","8","2023-09-06T00:00:00.000","94117","167765192372","wood frame (5)","","N","9800","333","apartments","156","{""coordinates"":[-122.441826473,37.773885391],""type"":""Point""}","","issued","wood frame (5)"
